"url","page_type","title","h1","intent","primary_cluster","status","canonical","internal_links","possible_overlap","notes"
"/author/katet_audite/","author","","","navigational","","existing_inventory","https://katet.tech/author/katet_audite/","not_crawled","see keyword-research.csv","template=author_archive; lastmod=2024-11-11T13:44:58+00:00"
"/category/buldozery/","category","","","navigational","","existing_inventory","https://katet.tech/category/buldozery/","not_crawled","see keyword-research.csv","template=blog_category; lastmod=2026-02-19T11:16:44+00:00"
"/category/ekskavatory/","category","","","navigational","","existing_inventory","https://katet.tech/category/ekskavatory/","not_crawled","see keyword-research.csv","template=blog_category; lastmod=2026-02-17T14:05:12+00:00"
"/category/manipulyatory/","category","","","navigational","","existing_inventory","https://katet.tech/category/manipulyatory/","not_crawled","see keyword-research.csv","template=blog_category; lastmod=2026-02-17T11:47:19+00:00"
"/category/podemniki/","category","","","navigational","","existing_inventory","https://katet.tech/category/podemniki/","not_crawled","see keyword-research.csv","template=blog_category; lastmod=2026-02-17T10:27:16+00:00"
"/category/raznoe/","category","","","navigational","","existing_inventory","https://katet.tech/category/raznoe/","not_crawled","see keyword-research.csv","template=blog_category; lastmod=2026-02-24T09:15:19+00:00"
"/blog/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/blog/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-24T09:15:19+00:00"
"/chto-delaet-buldozer-na-strojke/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-delaet-buldozer-na-strojke/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-17T13:43:22+00:00"
"/chto-delaet-ekskavator/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-delaet-ekskavator/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-17T14:05:12+00:00"
"/chto-luchshe-vzyat-v-arendu-manipulyator-ili-kran/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-luchshe-vzyat-v-arendu-manipulyator-ili-kran/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-17T08:58:46+00:00"
"/chto-takoe-dolgosrochnaya-arenda-spectekhniki-i-komu-ona-vygodna/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-takoe-dolgosrochnaya-arenda-spectekhniki-i-komu-ona-vygodna/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-19T11:40:59+00:00"
"/chto-takoe-tral-i-kakoy-vid-vybrat/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-takoe-tral-i-kakoy-vid-vybrat/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-17T15:44:20+00:00"
"/chto-znachit-razrabotka-grunta/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/chto-znachit-razrabotka-grunta/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-13T15:56:23+00:00"
"/dlya-chego-ispolzuetsya-samosval/","post","","","informational_or_directory","","existing_inventory","https://katet.tech/dlya-chego-ispolzuetsya-samosval/","not_crawled","see keyword-research.csv","template=blog_or_article; lastmod=2026-02-17T12:23:47+00:00"
